XDIP YDIP ZDIP RDIP
-1.68126505 4.90451971 3.49093911 6.25040971
4.19332264 -5.96271092 1.40921122 7.42453719
-4.52557555 6.56131407 0.44285466 7.98296916
5.43625907 1.15960944 5.71824674 7.97470705
-3.97991462 -3.98966413 -3.71274036 6.74845028
3.24210278 -1.48668767 4.5666127 5.79443028
-7.78411222 -1.88117793 1.8118556 8.2106062
-1.47479302 -6.64167997 -4.65690659 8.2446168
-6.61694112 -3.1466108 2.17927862 7.64423473
0.987383587 0.604955294 -6.83573906 6.93312525
6.529809934E-02 5.02908493 -4.80331814 6.95469799
-0.615948572 -4.17924448 -6.02837158 7.36116437
5.29326582 0.144417343 -3.7215234 6.47219096
-5.59317204 2.61977004 2.86713081 6.80934708
2.47450248 1.55106106 -6.13402335 6.7937615
-6.79655822 -2.64720594 -0.668454032 7.32446133
1.71808646 7.08307962 -3.08445897 7.9142735
-5.26876246 4.28228453 2.05997915 7.09516263
-5.90297322 -0.362978369 -4.01996257 7.15101008
3.11248682 -2.37552611 6.67654889 7.73996147
-3.66524515 1.33756015 -4.40019403 5.880884
-1.38890047 2.08202777 -7.16791456 7.59229105
-1.46741135 -7.18720013 -1.57497861 7.50264616
7.55493187 -0.714853346 -3.1007769 8.19773311
0.647739728 -0.157565721 7.81121353 7.8396078
-2.51580061 -5.35742465 4.02962025 7.16024378
5.32662334 -5.68456 -3.48850568 8.53562009
5.96527562 1.07821148 1.22043981 6.18356908
6.61354953 -4.58827152 -1.94540464 8.28105502
2.17123978 6.60941685 -0.371183867 6.96681066
2.71845496 4.79265562 -3.47592431 6.51472141
-2.06955232 3.3583443 -5.68679561 6.92106694
5.0853032 0.823278507 -5.99922063 7.90751189
-2.79289765 1.50611188 -6.20115251 6.96584114
-2.19203767 -5.98224983 4.54954002 7.82883495
-7.79910776 0.853940704 1.35709154 7.96222293
4.89796514 4.56325444 4.20704567 7.90649017
-5.23879135 5.56238818 -3.05660733 8.22969899
4.60987401 -6.91236196 -0.827684112 8.34965551
-1.5106365 -1.65747202 5.95146017 6.35996182
-4.17619995 4.64125812 -2.492005 6.72250042
-6.49343207 -1.54729124 -2.70691681 7.20320546
5.86391697 3.08015893 0.18449807 6.62623127
6.76779167 1.93261166 -2.40479075 7.43780952
6.0623771 2.42610255 -2.40049869 6.95706717
-0.157833903 0.935254252 6.07525343 6.14884675
-1.65783164 2.4498638 6.85355339 7.464679
-3.99584306 1.17792364 4.95913424 6.47667185
-4.8334017 2.85015026 -0.875123437 5.6789937
-5.56715094 -1.80524545 -2.04158772 6.19839988
-6.06558916 2.69015387 -2.48102132 7.08405015
1.63645579 -3.09833156 7.4941599 8.2728519
-6.8163839 2.48796238 -1.22617797 7.35911399
7.810820367E-02 -6.55881995 1.81838213 6.80666832
-3.34592161 -0.224289306 4.31432316 5.46432808
5.42063066 2.35337195 0.470134151 5.92812132
4.00406843 -2.38038187 5.50102101 7.20832948
-6.96854831 3.13443745 1.33153332 7.75618106
5.84882474 -2.66302116 -1.37462595 6.57191213
-5.08012286 0.905512451 -4.62949762 6.93252113
0.213337578 -3.36679664 -5.19516394 6.19439754
6.27481822 -0.287953347 5.11458371 8.10032266
-7.4701622 0.19921866 -2.41346724 7.85288708
-3.77599758 -4.74194933 5.12363962 7.93699717
-5.61104526 2.60045345 -2.54643263 6.68808689
-0.673360322 -7.41136695 -3.0998803 8.06170156
-0.679211333 7.20097072 -3.18670564 7.90382187
-5.03722453 7.27673406 0.655222919 8.87433415
-2.28656182 -1.03570299 -6.75526707 7.20657192
4.46948291 4.07087597 3.20043217 6.84040019
5.82758806 3.18373928 2.34981848 7.04404893
-4.38163624 4.69215418 4.01183666 7.57032895
-6.78030868 5.064289984E-02 4.3421674 8.05168109
-1.31477145 -2.1548088 -5.53686168 6.08511809
-5.06707804 -2.08069684 2.67897676 6.09766313
3.71416626 -5.92358458 0.548135305 7.01315462
4.46970551 -6.96968676 -2.49662189 8.64800103
-4.755014632E-02 6.61105107 3.21392108 7.35102346
5.83119833 -5.51672811 1.03042341 8.09314126
-3.80147694 6.52321079 2.26806064 7.88337523
4.91780534 0.675856078 5.95535011 7.75292111
-5.41540029 -4.02888545 -3.27806995 7.50361385
6.79207924 -0.30217762 4.03354905 7.90526214
-7.40374403 -0.981991565 3.15845359 8.10898034
-0.997874627 -5.75247943 -5.43902996 7.97933708
-3.15811702 -1.49105085 6.3539802 7.25051723
0.395779978 1.49121262 -7.70643281 7.85935516
3.06914028 2.84953984 -4.86893685 6.42230842
-0.173484641 -4.57128091 -4.73993715 6.58739024
4.35556474 -4.01233527 -4.78867715 7.61585237
2.47033017 5.73158821 2.8356307 6.85524879
-4.72868429 -1.39531204 -5.05176881 7.05887519
-6.72425945 0.685627159 2.48127074 7.20017043
1.68377649 7.70652954 1.50572317 8.03074735
-5.95930918 4.18590578 1.47723992 7.43084187
